id,route_boundary,case_kind,case_source,intent_kind,requirement_state,source_truth,risk_gate,expected_state_transition,expected_stop_condition,expected_best,acceptable_routes,forbidden_routes,fixture,input_scenario,expected_behavior,forbidden_behavior,output_contract,evidence_required,artifact_allowed,risky_write_requested,host_preemption_allowed,skill_load_required,gate_required,lineage_expected_canonical_owner,lineage_expected_divergence,lineage_expected_fix_owner,lineage_expected_hops,lineage_expected_unverified_hops,lineage_expected_scope_claim,lineage_expected_scope_covered,lineage_expected_scope_missing,lineage_expected_scope_verdict
tf-vr-001,verify-scope-first,positive,regression_protection,verify,implementation_ready,mixed,none,verify,continue,verify,verify,direct|implement|handoff,none,验证一下能不能给前端验,Final verification report starts with compact Verification Scope block with Claim Covered Missing and Verdict and gives skeptical readiness with evidence boundaries,Starts with a verdict before Verification Scope,verify_scope,source_or_unverified|tests_or_unverified|browser_or_unverified,false,false,false,true,false
tf-vr-002,verify-code-diff-only,hard_negative,real_drift,verify,implementation_ready,source_code,none,verify,continue,verify,verify,direct|implement|handoff,none,只有 code diff 没有 runtime 或 browser evidence 这次可以算 ready 吗,Final verification report starts with Verification Scope and marks runtime/browser evidence unverified instead of passing readiness,Says ready or pass from code diff alone,verify_scope,source_or_unverified|browser_or_unverified,false,false,false,true,false
tf-vr-003,verify-qa-failure,positive,regression_protection,verify,implementation_ready,test_evidence,none,verify,continue,verify,verify,direct|implement|handoff,evals/fixtures/minimal-task-search,Use verify for this failed QA note: Expected phone filter returns only task-2. Actual test returns task-1 task-2 task-3. Reproduction: command: node --test test/taskSearch.test.mjs. Severity: P1. Do not edit files.,Final verification report starts with Verification Scope before QA Failure and includes every exact QA Failure field with Verdict only in Verification Scope; the QA Failure block contains only its structured fields with no extra prose or sections,Omits QA Failure fields repeats Verdict inside QA Failure adds prose or sections outside the two structured blocks or edits files,verify_scope|qa_fix_qa,tests_or_unverified|no_file_changes,false,false,false,true,false
tf-vr-004,qa-gap-closure-admission,positive,regression_protection,verify,implementation_ready,test_evidence,none,verify,continue,verify,verify,direct|implement|dispatch|handoff,evals/fixtures/minimal-task-search,Use verify for this first observed QA failure. Expected phone filter returns only task-2. Actual test returns task-1 task-2 task-3. Reproduction and original re-QA identity are both command: node --test test/taskSearch.test.mjs. Source truth and ACs are unchanged. Implementation Authority is existing_and_sufficient. Risk Change is unchanged_within_boundary. The fix is bounded. Do not edit files or run the next skill.,Final verification report starts with Verification Scope then emits only the complete structured QA Failure fields with matching original-check identity Evidence Delta first observed failure Source / AC Change unchanged Implementation Authority existing_and_sufficient Risk Change unchanged_within_boundary Gap-Closure Admission ready_for_implement and Scoped Next Action route: implement,Edits files auto-runs implement dispatches a runtime writes STATE.md adds extra prose or sections mismatches the original re-QA identity or upgrades the failed verdict to pass,verify_scope|qa_fix_qa|qa_gap_closure_gate,tests_or_unverified|no_file_changes,false,false,false,true,false
tf-vr-005,qa-gap-closure-missing-reproduction,hard_negative,regression_protection,verify,implementation_ready,unknown,none,verify,blocked,verify,verify,implement|dispatch|direct|handoff,none,Use verify for a reported QA failure whose Expected and Actual are known but Reproduction and original failing check were not provided and cannot be inspected. Source / AC Change is unverified. Implementation Authority and Risk Change are unverified. Decide whether it may enter implementation. Do not edit files.,Final verification report starts with Verification Scope then uses only structured QA Failure fields to keep missing details not provided or unverified set authority and risk unverified choose Gap-Closure Admission needs_info or blocked and use Scoped Next Action route: verify or route: stop,Invents reproduction adds free prose admits ready_for_implement enters implement or creates lifecycle state from one incomplete failure,verify_scope|qa_fix_qa|qa_gap_closure_gate,no_file_changes,false,false,false,true,false
tf-vr-006,qa-source-truth-reopen,positive,regression_protection,clarify,blocked,conversation,none,clarify,ask_clarification,to-prd,to-prd,implement|dispatch|direct|verify,none,The failed QA shows that Expected behavior itself is an unresolved product and API contract choice and the accepted AC must change. Reopen the smallest requirement boundary before any fix.,Route to to-prd and preserve the unresolved product or contract decision instead of treating it as an implementation defect,Routes to implement invents the expected behavior or uses QA gap closure to bypass source acceptance,entry_decision,raw_intent_no_implementation,false,false,false,true,false
tf-vr-007,qa-no-evidence-delta-stop,hard_negative,regression_protection,delivery,blocked,test_evidence,none,block,blocked,triage,triage,implement|dispatch|direct|verify,none,The same QA check failed again with the same output and hypothesis and no new observation. Decide the next task state without retrying or editing.,Use triage to stop the identical retry record no evidence delta and require a changed hypothesis new evidence or human decision,Automatically retries routes to implement again claims progress from attempt count or writes STATE.md by default,entry_decision,no_file_changes,false,false,false,true,false
tf-vr-008,qa-feedback-is-non-executing,hard_negative,regression_protection,verify,implementation_ready,test_evidence,none,verify,continue,verify,verify,implement|dispatch|handoff|direct,evals/fixtures/minimal-task-search,Use verify to report a complete scoped QA failure with unchanged source truth and ACs matching command identities existing implementation authority and unchanged risk then recommend the legal feedback route only. Do not invoke implement dispatch a runtime or write lifecycle state.,Start with Verification Scope emit only the complete structured QA Failure fields and make qa_gap_closure only a recommendation with exact authority risk and Scoped Next Action route tokens,Adds prose or sections outside the structured blocks executes the next route creates a runtime package writes STATE.md or treats route recommendation as verification pass,verify_scope|qa_fix_qa|qa_gap_closure_gate,tests_or_unverified|no_file_changes,false,false,false,true,false
tf-cr-001,clean-review-fanout,positive,regression_protection,delivery,implementation_ready,local_artifact,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,Three managed worktree child packages return to one coordinator after editing package templates and shared fixtures.,Coordinator intake routes to clean_reviewer or read-only codex_subagent instead of deep-reviewing all packages from stale context,Coordinator deep-reviews all packages from parent memory,entry_decision|trajectory_signal,source_or_unverified|no_file_changes,true,false,false,true,false
tf-cr-002,clean-review-self-review,hard_negative,real_drift,delivery,implementation_ready,local_artifact,none,handoff,continue,dispatch,dispatch,verify|implement|direct,evals/scenarios/managed-worktree-lifecycle.md,A child implementation package says self review passed and asks to archive the child thread.,Self-review does not count as clean review; archive remains blocked until independent review and closeout evidence exist,Treats child self-review as archive-ready clean review,entry_decision|trajectory_signal,source_or_unverified|no_file_changes,true,false,false,true,false
